File,Category,Section,Title
207329593.html,"Team Building: Leadership, Management and Culture",Entrepreneurial leadership,Are there any resources for me to learn about leadership in a startup setting?
206446466.html,Primary Market Research,Doing primary market research in another country,What do I need to watch out for when doing research in a developing country?
206446296.html,Primary Market Research,Doing primary market research in another country,How do I do customer interviews for a venture in another country while staying in the U.S.?
206785413.html,Scaling - Process and Infrastructure,Customer service,What is customer service?
206602833.html,Free or discounted services for startups,Productivity and backoffice tools,Free access to Microsoft Office suite for students and educators
206568053.html,Raising money - equity based,Raising an angel or seed round,How do I raise seed capital?
206533023.html,MIT Specific questions,MIT Fuse - 3-week mini accelerator during IAP (January),What is fuse?
206169846.html,Human Resources,Firing,How do I fire someone?
206076626.html,Work-Life Balance,Readings on work life balance,How do I achieve work-life balance in a startup?
206442733.html,Scaling - Manufacturing,Lead times,How long does it take to get a machined part made?
206442723.html,Scaling - Manufacturing,Lead times,How long does it take to get a die cast metal part made?
206442713.html,Scaling - Manufacturing,Lead times,How long does it take to get an injection molded part made?
206442653.html,Scaling - Manufacturing,Final assembly,How do I get my product assembled and shipped?
206076416.html,Scaling - Manufacturing,Final assembly,What are the pitfalls with building my own manufacturing facility?
206442563.html,Scaling - Manufacturing,Final assembly,What are the pitfalls of hiring interns to do final assembly?
206442513.html,Scaling - Manufacturing,Final assembly,What are the pitfalls of doing final assembly myself?
206076326.html,Scaling - Manufacturing,Sourcing Components,What is the difference between COTS parts and custom parts?
206076126.html,Product Development,Request for Proposals (RFP) / Request for Quotes (RFQ),How do I conduct a competitive RFP / RFQ?
206442013.html,Product Development,Working with an industrial design or product design agency,How do I find a great product design firm to partner with?
206441993.html,Product Development,Working with an industrial design or product design agency,"Should I hire a product design company, or hire individuals?"
206441983.html,Product Development,Working with an industrial design or product design agency,When should I hire a product design consulting firm to help me commericalize my product?
206076096.html,Scaling - Manufacturing,"Offshoring, Reshoring, Rightshoring",Should I manufacture my product domestically or abroad?
206441663.html,Marketing and Sales,Growth hacking,What is Growth Hacking?
206075936.html,Marketing and Sales,Inbound and Content Marketing,What is Inbound Marketing?
206075906.html,Marketing and Sales,E-Marketing,What are some common platforms for managing my email marketing campaigns?
206441173.html,Legal ,Founder's Agreement,How do I build a great Founder's Agreement?
206440733.html,Testing your MVP and Finding Product/Market Fit,Validating hypotheses via MVP Testing,What is a Minimum Viable Product (MVP)?
206075096.html,Testing your MVP and Finding Product/Market Fit,Measuring traction,What are some ways to measure traction?
206074396.html,Building Entrepreneurship Systems,Educators' Resources,What resources are available to help me teach entrepreneurship?
206073796.html,Product Management,Defining a product,What is product definition?
206073496.html,Product Development,Planning projects,How long should it take to develop a product?
206073126.html,Product Design,Design for software products,What types of designers are involved in UX design?
206438963.html,Product Design,Design for software products,What are the work products of the software UX design process?
206438833.html,Product Design,User Experience (UX) Design,What is UX Design?
206072956.html,Product Design,Design for hardware products,What is Industrial Design?
206072746.html,Career Choice,Deciding whether to start a company,Am I too old to start a company? 
206282243.html,Scaling - Process and Infrastructure,Scaling your team ,What is the definition of scaling? 
205911426.html,Basics of Finance (i.e. managing money),Getting started with your financial scoreboard,What are the key concepts in managing finances for a startup?
205911216.html,Basics of Finance (i.e. managing money),Financial Statements / 5-year forecast models,Where can I find a financial template for a startup?
205477776.html,Business Model and Pricing,Determining your Business Model,What is a business model?
205477626.html,Basics of Finance (i.e. managing money),Financial Statements / 5-year forecast models,What is a profit and loss statement or a P&L?
205827903.html,Basics of Finance (i.e. managing money),Financial Statements / 5-year forecast models,What is an income statement?
205815123.html,MIT Specific questions,Startups founded by MIT alumni,What are some MIT student startups that raised money recently?
205243546.html,MIT Specific questions,Martin Trust Center for MIT Entrepreneurship,What services and support can I get at the Martin Trust Center as a current student or postdoc?
205242706.html,General questions,Getting started,I'm new to entrepreneurship. How do I get started?
205475393.html,Legal ,Everything about stock and stock options,Where can I go to learn about stock and stock options?
205474403.html,Human Resources,Compensation,How much should I pay my employees?
205468593.html,Founders' Decisions,Equity split,When should we split the equity between cofounders?
205468393.html,Legal ,Getting started,What are some good reads on legal matters?
205115976.html,Scaling - Manufacturing,Design for Manufacturing / Assembly (DFM/A),What is Design for Manufacturing / Design for Assembly?
205448193.html,Business Model and Pricing,SaaS business models,How do I create a SaaS business model?
205115146.html,Sector Deep Dives,Resources for learning about industry sectors at MIT,What is a Sector Practice Leader?
205113586.html,MIT Specific questions,Competitions and Prizes at MIT,What entrepreneurship related competitions and prizes can I apply for at MIT?
205446103.html,Career Choice,Planning your career,How do I create a career plan?
205267493.html,Ideation,Brainstorming and ideation,How do I run a great brainstorming session?
205267313.html,Legal ,Company formation / incorporation,What is incorporation?
205267303.html,Legal ,Hiring your first lawyer,What is a startup program at a law firm?
204962956.html,Free or discounted services for startups,Incorporation,MIT Students only: Free legal services from MIT's partnership with the Boston University and Harvard University
205237573.html,Strategy,Board of Director Considerations ,What is the role of the board?
204891786.html,Primary Market Research,Getting started,What is primary market research?
204891346.html,MIT Specific questions,Academics at MIT,What entrepreneurship classes are available at MIT?
204891336.html,General questions,Glossary,Entrepreneurship Jargon Translator
204891306.html,Founders' Decisions,Founder dating,Where can I find a co-founder?
204857006.html,General questions,Startup / Entrepreneurship Frameworks,What is the Disciplined Entrepreneurship framework?
205164503.html,Strategy,Stealth mode,How can I carefully talk about my startup without letting people steal my idea?
205164493.html,Strategy,Stealth mode,When should I come out of stealth mode?
205164483.html,Strategy,Pivotting,How do you know when to give up or change course?
205164443.html,"Team Building: Leadership, Management and Culture",Managing a team,How do I get my team to work together well? 
205164433.html,"Team Building: Leadership, Management and Culture",Building a team,I am a first time founder and don’t have industry experience. How do I build a great team?
205164413.html,Human Resources,Hiring,How do I hire people to join my team?
204854946.html,Product Development,Medical Devices,How can I learn more about the process of developing a medical device?
205164403.html,Product Development,Software Development,How can I learn more about software development?
204854836.html,Product Development,Hardware Development,I am new to hardware development. How do I get started?
205164383.html,Product Development,Managing Software Development,How can I get things done when everyone is a part-time contractor?
204854756.html,Product Development,Planning projects,How detailed should the project plan be in an early stage startup?
205164193.html,Primary Market Research,Interview techniques,How many interviews do you need to build a good persona?
204854566.html,Testing your MVP and Finding Product/Market Fit,Testing the business model,How do you gauge purchase intent in an interview?
204854556.html,Primary Market Research,Subject recruitment,How do I recruit subjects?
204854316.html,Secondary Market Research,Secondary Market Research on the cheap,How do I estimate the market size of a given market?
204854286.html,Founders' Decisions,Equity split,How should I divide my equity with my co-founders?
204854276.html,Founders' Decisions,Common mistakes,What’s the most common mistake you see with new CEOs?
205163923.html,Ideation,Idea selection,I have lots of ideas – how do I pick one to start a company with?
204854256.html,MIT Specific questions,Coaching and Mentorship,Where can I get coaching and mentorship help in and around MIT?
205163873.html,General questions,Finding your way around the Boston startup landscape,I am new to the Boston startup ecosystem. Where can I go to meet other founders or get access to local resources?
204854096.html,Marketing and Sales,Marketing Presence,What marketing presence do I need to have on Day 1?
205163463.html,General questions,Startup administrivia,How do I start a company?
205162853.html,General questions,Getting started,I am new to entrepreneurship. What are some good books to read / blogs to follow?
360041038512.html,Anti-Fragility in the face of crisis,"Pitching, virtually",How do I deliver my content effectively in a virtual pitch?
360041350531.html,MIT Specific questions,Martin Trust Center for MIT Entrepreneurship,What services and support can I get from the Martin Trust Center if I am not a student?
360041336671.html,Anti-Fragility in the face of crisis,Maintaining cohesiveness and alignment in a virtual team,What are the upsides of working remotely?
360040907712.html,Anti-Fragility in the face of crisis,Transforming in-person interactions to an online format,What do we gain and lose by going from in-person to virtual?
360041325731.html,Anti-Fragility in the face of crisis,How to use technology to help us go virtual,What do I do if I have low bandwidth?
360040895092.html,Anti-Fragility in the face of crisis,Starting and running a business in tough times,What are investor sentiments in the midst of a global crisis?
360040182111.html,Sector Deep Dives,Healthcare,What groundwork or think tank do I need in advance so that my innovation gets a successful regulatory approval and makes it to market commercialization?
360040105671.html,General questions,Getting started,How are B2C and B2B businesses different in a startup setting?
360040105651.html,Corporate Entrepreneurship,Practicing Corporate Entrepreneurship,What skills does the corporate entrepreneur need in order to build successful internal ventures?
360040105131.html,Corporate Entrepreneurship,Innovation Enablement in organizations,What are some common corporate entrepreneurship enablement tools and programs?
360039696912.html,Corporate Entrepreneurship,Innovation Strategy in Corporations,Who creates the innovation strategy for an organization?
360040104231.html,Corporate Entrepreneurship,Corporate Entrepreneurship Overview,What is entrepreneurship?
360040103871.html,General questions,Startup / Entrepreneurship Frameworks,Where can I find worksheets from the Disciplined Entrepreneurship Workbook?
360039649391.html,Marketing and Sales,Online Advertising,How can I quickly test a value proposition with digital advertising?
360039633431.html,Scaling - Manufacturing,"Offshoring, Reshoring, Rightshoring",What is different about manufacturing in China in 2020?
360039026852.html,Business Model and Pricing,Determining your Business Model,What are some common patterns in startup business models?
360036579552.html,General questions,Startup administrivia,What insurance coverage do I need and when should I get it?
360035109812.html,MIT Specific questions,Navigating startup resources at MIT,I am thinking of applying to MIT. What resources are available to help me start a company here?
360024691872.html,Business Model and Pricing,TAM (Total Addressable Market),Why do I need to estimate TAM?
360024702911.html,MIT Specific questions,MIT deltav,How is the Trust Center program different from other startup accelerators?
360024373332.html,Testing your MVP and Finding Product/Market Fit,Validating hypotheses via MVP Testing,How does MVP testing help accelerate new venture development?
360024658071.html,Product Design,User Experience (UX) Design,Design Methodology 101
360024657571.html,"Team Building: Leadership, Management and Culture",Building a team,How do I hire a startup team?
360018741052.html,Human Resources,Compensation,How much equity should I give my advisors?
360016011532.html,MIT Specific questions,Hiring MIT Students,When do I need to start recruiting students?
360007243992.html,"Team Building: Leadership, Management and Culture",Organizational structures and processes,The difference between a CTO and a VP Engineering
115001894832.html,"Raising money - Grants, prizes and accelerators",Accelerators,What accelerators are in the New York City area?
115001887472.html,Raising money - equity based,Raising an angel or seed round,What do I need in order to raise a seed round?
115001880331.html,Raising money - equity based,Convertible notes and safe notes,Where can I download a template for a convertible note?
115000903112.html,Legal ,NDAs,Who can sign an NDA on behalf of a startup?
115000816711.html,"Raising money - Grants, prizes and accelerators",Eligibility for SBIR / STTR grants,What are the requirements for the Principal Investigator (PI) in the proposal?
115000816371.html,"Raising money - Grants, prizes and accelerators",Writing a great SBIR proposal,How do I structure the first 3 pages of my SBIR proposal?
115000822172.html,"Raising money - Grants, prizes and accelerators",Phase 1 and Phase 2 SBIR / STTR Awards,What is the deliverable for a Phase 1 award?
115000815831.html,Sector Deep Dives,Tough Tech / Deep Tech,What grants and contracts might I apply for to help fund my startup?
115000790792.html,"Raising money - Grants, prizes and accelerators",Applying for an SBIR or STTR grant,What is the application process for an SBIR / STTR proposal?
115000783131.html,"Raising money - Grants, prizes and accelerators",Introduction to SBIR / STTR,What is the STTR program?
115003137606.html,Strategy,Board of Director Considerations ,How do I compensate my board members if they are not also investors?
213137363.html,Raising money - equity based,Fund raising - overview,What do I need to know about fundraising / investment?
211635946.html,"Pitching, Presentations and Public Speaking",Preparing for a talk,How can entrepreneurs persuade an audience and gain buy-in?
213104903.html,"Team Building: Leadership, Management and Culture",Entrepreneurial leadership,What skills are essential for founders?
213102283.html,Legal ,Intellectual Property Protection,"How can I protect my innovations? I’ve heard of patents, trademarks, trade secrets, etc."
213100463.html,Raising money - equity based,Pitching to investors,What are VCs looking for in your pitch?
211583686.html,"Team Building: Leadership, Management and Culture",Development of Culture,What to focus on to develop a winning culture?
211583446.html,Strategy,Board of Director Considerations ,What should founders consider in developing a Board Of Directors?
210083753.html,Raising money - crowdfunding,Crowdfunding,Crowd funding do's and don'ts 
207607076.html,Product Development,Hardware Development,What are some good readings on hardware and manufacturing?
207537776.html,"Pitching, Presentations and Public Speaking",Elevator pitches,What are the key elements of an elevator pitch?
206959616.html,Business Model and Pricing,SaaS business models,Where can I learn about common COCA / LTV and other metrics for SaaS businesses?
206788153.html,Scaling - Process and Infrastructure,Customer service,How do hardware businesses handle customer service?
206768193.html,General questions,Finding your way around the Boston startup landscape,Where can I find a good co-working space in and around Boston?
206234966.html,Free or discounted services for startups,Productivity and backoffice tools,Educational discount for Adobe Creative Cloud products
206173706.html,MIT Specific questions,MIT Fuse - 3-week mini accelerator during IAP (January),"What is the difference between MIT fuse, StartMIT and Nuts and Bolts?"
206488773.html,Career Choice,Planning your career,What factors should I consider when choosing careers?
206442663.html,Scaling - Manufacturing,Common manufacturing processes,What are some common processes for mass-producing plastic parts?
206442383.html,Scaling - Manufacturing,Sourcing Components,How do I source commodity / COTS parts?
206075956.html,Marketing and Sales,Inbound and Content Marketing,What is Content Marketing?
206075536.html,Legal ,Founder's Agreement,Where can I find a template for a Founder's Agreement?
206439963.html,Legal ,Company formation / incorporation,When should I incorporate?
206073876.html,Product Management,Defining a product,Who defines the product?
206072966.html,Product Design,Design for hardware products,How do industrial designers contribute to product design?
206438363.html,Career Choice,Deciding whether to start a company,Am I too young to start a company?
206006146.html,Corporate Entrepreneurship,Success factors,Success factors of Corporate Entrepreneurship
206326443.html,Product Development,Prototyping,What is a virtual prototype?
205955306.html,Scaling - Process and Infrastructure,Scaling your team , Scaling in the high growth phase
205911436.html,Basics of Finance (i.e. managing money),Getting started with your financial scoreboard,What do I need to know about revenue models or forecasting?
205815063.html,MIT Specific questions,Startups founded by MIT alumni,What are some MIT startups that had huge exits?
205813743.html,Ideation,Idea selection,How do I downselect ideas from a brainstorming session?
205464806.html,Secondary Market Research,Secondary Market Research Resources,MIT only: Free access to Harvard Business Review articles via MIT libraries
205475423.html,Legal ,Everything about stock and stock options,What is a capitalization table or cap table?
205449193.html,Scaling - Manufacturing,Design for Manufacturing / Assembly (DFM/A),How can I learn more about Design for Manufacturing?
204963086.html,Legal ,Hiring your first lawyer,Where can I find startup lawyers in Boston?
205194123.html,Testing your MVP and Finding Product/Market Fit,Measuring traction,What is Product/Market Fit?
204891476.html,MIT Specific questions,Academics at MIT,In what order should I take entrepreneurship classes at MIT?
205164473.html,"Team Building: Leadership, Management and Culture",Managing a team,My functional teams aren’t talking or coordinating with each other. How do we deal with silo thinking? 
205164423.html,Human Resources,Hiring,How do I make sure I am hiring the right people?
204854826.html,Product Development,Managing Software Development,How do I prioritize features versus bugs?
204854776.html,Product Development,Planning projects,How rigidly should you adhere to your project plan?
205164323.html,Testing your MVP and Finding Product/Market Fit,Testing the business model,How do you do pricing research in a detailed interview?
205164183.html,Primary Market Research,Subject recruitment,How do you get a company to give you access to its people for a B2B project?
204854396.html,Primary Market Research,Interview techniques,How do you build a discussion guide for a detailed interview?
205164053.html,Primary Market Research,Getting started,How do I do primary market research?
205163943.html,Founders' Decisions,Founder dating,How do I make sure I have good cofounders?
204854066.html,Marketing and Sales,Marketing Presence,How do I come up with a logo?
360041038272.html,Anti-Fragility in the face of crisis,"Pitching, virtually",How do I deliver a powerful physical stage presence?
360040910712.html,Anti-Fragility in the face of crisis,Starting and running a business in tough times,What can companies do to drive revenue during a global crisis?
360040907332.html,Anti-Fragility in the face of crisis,How to use technology to help us go virtual,What is the difference between an online meeting and an online webinar?
360041327491.html,Anti-Fragility in the face of crisis,Maintaining cohesiveness and alignment in a virtual team,How do I build relationships with my virtual employees?
360040898252.html,Anti-Fragility in the face of crisis,Transforming in-person interactions to an online format,How do I maintain good interactivity in an online meeting?
360040182171.html,Sector Deep Dives,Healthcare,What's the best regulatory pathway I should take for a successful regulatory approval and market access?
360040105791.html,Corporate Entrepreneurship,Practicing Corporate Entrepreneurship,What are the steps for a corporate entrepreneur build stakeholder support?
360040105731.html,General questions,Getting started,What is the difference in the time it takes to build different kinds of ventures?
360040105171.html,Corporate Entrepreneurship,Innovation Enablement in organizations,When might it make sense for an organization to work with startups?
360040104791.html,Corporate Entrepreneurship,Innovation Strategy in Corporations,What is the first step in creating an innovation strategy?
360039696192.html,Corporate Entrepreneurship,Corporate Entrepreneurship Overview,What is the definition of an entrepreneur?
360039648631.html,Marketing and Sales,Online Advertising,Where does digital advertising fit into my overall marketing strategy?
360029732091.html,Human Resources,Hiring,How do I write a job description?
360024691172.html,Business Model and Pricing,TAM (Total Addressable Market),How do you calculate TAM?
360024373172.html,Career Choice,Planning your career,How do I assess my career options as a Ph.D. student?
360018646672.html,"Team Building: Leadership, Management and Culture",Entrepreneurial leadership,Immigrants bring a growth mindset to entrepreneurship 
360016262631.html,Free or discounted services for startups,Business systems,CRM and Marketing Platform: Hubspot for Startups
115001881271.html,Business Model and Pricing,SaaS business models,What are some real life SaaS pricing models?
115001880671.html,Raising money - equity based,Raising an angel or seed round,What do investors need to know about the startup to invest?
115001880291.html,Raising money - equity based,Convertible notes and safe notes,What are the key concepts behind a convertible note?
115001601871.html,"Pitching, Presentations and Public Speaking",Preparing for a talk,How do I storyboard my pitch?
115000903732.html,"Raising money - Grants, prizes and accelerators",Accelerators,Which accelerators don't take equity?
115000903232.html,Legal ,NDAs,What are the different kinds of NDAs?
115000822572.html,"Raising money - Grants, prizes and accelerators",Writing a great SBIR proposal,What do we need to know about the Team section in the SBIR proposal?
115000815891.html,"Raising money - Grants, prizes and accelerators",Applying for an SBIR or STTR grant,How many people apply for each SBIR solicitation?
115000821652.html,Sector Deep Dives,Tough Tech / Deep Tech,What is the NSF I-Corps Program? 
115000790552.html,"Raising money - Grants, prizes and accelerators",Phase 1 and Phase 2 SBIR / STTR Awards,I already have a working prototype. Can I go straight to Phase 2?
115000783471.html,"Raising money - Grants, prizes and accelerators",Introduction to SBIR / STTR,Who runs the SBIR / STTR programs?
115003116383.html,"Team Building: Leadership, Management and Culture",Development of Culture,Culture--Bro culture is changing 
211748066.html,Raising money - equity based,Pitching to investors,How to design a great pitch - from Y-Combinator 
211613386.html,Legal ,Founder's Agreement,What should a founder’s agreement include dependent on the stage of the company?
207698826.html,General questions,Startup administrivia,What do I need to know to procure business insurance for my startup?
207591916.html,Raising money - crowdfunding,Crowdfunding,Crowd Funding and Kickstarter 
206445756.html,Scaling - Process and Infrastructure,Customer service,How do self service SaaS businesses handle customer service?
206173716.html,MIT Specific questions,MIT Fuse - 3-week mini accelerator during IAP (January),Why should I apply to fuse?
206442703.html,Scaling - Manufacturing,Common manufacturing processes,What are some common processes for mass-producing metal parts?
206442393.html,Scaling - Manufacturing,Sourcing Components,How do I source critical COTS parts?
206441883.html,Scaling - Manufacturing,"Offshoring, Reshoring, Rightshoring",What are the biggest mistakes people make in manufacturing offshore?
206441193.html,Testing your MVP and Finding Product/Market Fit,Validating hypotheses via MVP Testing,How do you test an MVP?
206440723.html,Testing your MVP and Finding Product/Market Fit,Measuring traction,What is the Net Promoter Score (NPS)?
206074336.html,Marketing and Sales,Marketing Presence,How can I put up a website without doing any coding?
206072606.html,Career Choice,Deciding whether to start a company,I don't have any startup experience. Can I still be a founder?
206326463.html,Product Development,Prototyping,Do virtual prototypes work for biotech?
205994616.html,Scaling - Manufacturing,Design for Manufacturing / Assembly (DFM/A),What work do I need to do prior to speaking with a manufacturer?
206282193.html,Scaling - Process and Infrastructure,Scaling your team ,How do you choose the right size working groups? 
206281713.html,Raising money - equity based,Pitching to investors,What questions could you be asked by potential investors? 
205911466.html,Business Model and Pricing,Determining your Business Model,WhatsApp made it big without a business model. Why should I make one?
206242563.html,Basics of Finance (i.e. managing money),Getting started with your financial scoreboard,What do I need to know about operating expenses?
206242323.html,MIT Specific questions,MIT deltav,What kinds of teams are you looking for?
206120573.html,MIT Specific questions,Martin Trust Center for MIT Entrepreneurship,How do I book a room at MIT?
205815363.html,Free or discounted services for startups,Staffing,Developers who will work for free or at a discount
205813703.html,Founders' Decisions,Founder dating,Should I start a company with my best friend?
205586653.html,Product Development,Hardware Development,How much would it cost to develop a hardware product?
205145466.html,Raising money - equity based,Fund raising - overview,Is there a book that teaches you how to raise money?
205139286.html,Legal ,Everything about stock and stock options,"What is ""vesting""?"
